Sample Size	Simulations	Rejections	Power	Power Low	Power High
       1000	     100000	      6173	  6.2%	     6.0%	      6.3%
       2000	     100000	     15027	 15.0%	    14.8%	     15.2%
       3000	     100000	     21169	 21.2%	    20.9%	     21.4%
       4000	     100000	     26157	 26.2%	    25.9%	     26.4%
       5000	     100000	     33384	 33.4%	    33.1%	     33.7%
      10000	     100000	     56912	 56.9%	    56.6%	     57.2%
      15000	     100000	     73576	 73.6%	    73.3%	     73.8%
      20000	     100000	     83827	 83.8%	    83.6%	     84.1%
      30000	     100000	     94487	 94.5%	    94.3%	     94.6%
      40000	     100000	     98231	 98.2%	    98.1%	     98.3%
      50000	     100000	     99489	 99.5%	    99.4%	     99.5%
     100000	     100000	     99999	100.0%	   100.0%	    100.0%
